vietnamese,bru,pronunciation,example_bru,example_pronunciation,example_vietnamese,source_file
Đời này,Thũal ki,thũal ki,,,,Bru.txt
Đời người,"Anhúq, thũal kũai","anhúq, thũal kũai",,,,Bru.txt
Đời sống,Pang ỡt cha,Pang ơtcha,,,,Bru.txt
Đời sống,"Anhúq tamơong, pang ỡt cha","anhúq tamơong, pang ỡt cha",,,,Bru.txt
Đời xưa,Tễ  mbắq,tễ  mbắq,,,,Bru.txt
Đờm,Karhak,karhak,,,,Bru.txt
"Đơm đó, đặt bẫy",To,to,,,,Bru.txt
Đớp mồi,Sambóh,sambóh,,,,Bru.txt
Đu đủ,Ahống,A-hông,,,,Bru.txt
Đủ thứ,Túk ramứh,Túc ra-mứh,,,,Bru.txt
Đùa,Ra-ak,Ra-ac,,,,Bru.txt
Đũa,Tuôh,Tuôh,,,,Bru.txt
Đúc,Tơok,tơok,,,,Bru.txt
Đục,Takal,Ta-căỉ,,,,Bru.txt
Đục (dt),Tanốk,tanốk,,,,Bru.txt
Đục (đgt),Tốk,tốk,,,,Bru.txt
Đục (nước),Takál,takál,,,,Bru.txt
Đun,"Parúk, prúk","parúk, prúk",,,,Bru.txt
Đùn,"Ratư, sabốq","ratư, sabốq",,,,Bru.txt
Đúng,"Pĩêiq, krái","pĩêiq, krái",,,,Bru.txt
Đụng (đầu),Klúh,klúh,,,,Bru.txt
Đúng giá,Karái chiaq,karái chiaq,,,,Bru.txt
Đúng giờ,Pĩêiq katâm yơ,Piaq ca-tâm dơ,,,,Bru.txt
Đúng roi,Pĩêiq chơ,Pỉa-q chơ,,,,Bru.txt
Đúng rồi,Pĩêiq (krái) chơ,Piêiq (Ca-rây) chơ,,,,Bru.txt
Đuốc,Arơam,arơam,,,,Bru.txt
Đuôi,"Soi, dắng","soi, dắng",,,,Bru.txt
Đuổi (lùa),Poq,poq,,,,Bru.txt
Đuổi đi,Tuih,tuih,,,,Bru.txt
Đuối nước,Klơok dỡq,Cơ-ỉọc đợq,,,,Bru.txt
Đuổi nhau,Rapuai,rapuai,,,,Bru.txt
Đuờng đi,Rana,Ra-na,,,,Bru.txt
Đưa con,Dững con,dững con,,,,Bru.txt
Đưa cho,Avơi,avơi,,,,Bru.txt
Đưa dòng nước sạch,Yớt dỡq bráh,yớt dỡq bráh,,,,Bru.txt
Đưa đến,Dững atơâq,Dưng a-tâq,,,,Bru.txt
Đưa đến,Dững tơâq,dững tơâq,,,,Bru.txt
"Đưa lên, đi lên, dựng lên",Achỗn,achỗn,,,,Bru.txt
"Đưa ra, Ném xuống",Apăng,apăng,,,,Bru.txt
Đưa tới,Dững atơâq,dững atơâq,,,,Bru.txt
Đực (bà),Tangkáh,tangkáh,,,,Bru.txt
Đực (chó),"Kũnh, tôl","kũnh, tôl",,,,Bru.txt
Đực (lợn…),Tôl,tôl,,,,Bru.txt
Đực (nghé),Tang káh,tang káh,,,,Bru.txt
Đực voi,Kũang,kũang,,,,Bru.txt
Đừng,Chôi,Chói,,,,Bru.txt
Đừng,Chỗi,chỗi,,,,Bru.txt
Đứng cuôi,ơt rayứng parsôt,Ot ra-dừng pa-xốt,,,,Bru.txt
Đừng cho,Chỗi yỗn,chỗi yỗn,,,,Bru.txt
Đứng đầu,Rayứng kơâl,Ra-dung câ-l,,,,Bru.txt
Đứng lên,Tayứng,Ta-dừng,Ka lưp tayứng !,Ca lưp ta-dừng!,Cả lóp đứng dậy,Bru.txt
"Đứng lên, giáp mặt",Totáng,totáng,,,,Bru.txt
Đừng nhóm lửa,Chỗi nhúq uĩh,chỗi nhúq uĩh,,,,Bru.txt
Đừng quên,Chồi khlìr,Chôi kh-lỉ-r,,,,Bru.txt
Được,"Pân, bữn, têq","pân, bữn, têq",,,,Bru.txt
Được chia,Bừn tàmpềq,Bim tâm-pệ-q,,,,Bru.txt
Được may,Nơau yĩh,nơau yĩh,,,,Bru.txt
Được mùa,Bữn dỗi,Bưn đôi,,,,Bru.txt
Được mùa lúa nước,Pasâi dỗi nia,pasâi dỗi nia,,,,Bru.txt
Đường ăn,Bễng dang,bễng dang,,,,Bru.txt
Đường đất,Rana kutễq,Ra-na cu-tẹq,,,,Bru.txt
Đường đi,"Karna, rana","karna, rana",,,,Bru.txt
Đường ngôi,Karna nhchĩ,karna nhchĩ,,,,Bru.txt
Đường sa,Rana ralứng,Ra-na ra-ỉừng,,,,Bru.txt
Em,sễm,Xem,,,,Bru.txt
Em,A - Ễm,a - ễm,,,,Bru.txt
Em,"a-ễm, sễm","a-ễm, sễm",,,,Bru.txt
"Em gái, chị gái",Amuaq,amuaq,,,,Bru.txt
Eo (người),Ngkĩng,ngkĩng,,,,Bru.txt
Ép,Ễp,ễp,,,,Bru.txt
Ép buộc,Mpơat pahỡm,Am-pặt pa-hơm,,,,Bru.txt
"ếch, Nhái",Kuat,kuat,,,,Bru.txt
Gà,"Ntruôi, truôi","ntruôi, truôi",,,,Bru.txt
Gà con,Ntruôi nhom,ntruôi nhom,,,,Bru.txt
Gà lôi,Kalứng,kalứng,,,,Bru.txt
Gà mái,Ntruôi atu,ntruôi atu,,,,Bru.txt
Gà rừng,Ntruôi kruang,ntruôi kruang,,,,Bru.txt
Gác bếp,"Chơt, tiêr","chơt, tiêr",,,,Bru.txt
Gai,"Sarlia, kudũl","sarlia, kudũl",,,,Bru.txt
Gãi,"Piêiq, akar","piêiq, akar",,,,Bru.txt
Gan,Luam,luam,,,,Bru.txt
Gang tay,Sakat atĩ,sakat atĩ,,,,Bru.txt
Gang tay,"Sakat, tabễ, satia","sakat, tabễ, satia",,,,Bru.txt
Gánh,Tamprêk,Tâm-prêc,,,,Bru.txt
Gạo,Rakáu,Ra-cau,,,,Bru.txt
Gãy,Takơaih,takơaih,,,,Bru.txt
Gáy (dt),Lỡiq kỡiq,lỡiq kỡiq,,,,Bru.txt
"Gáy (gà, chim..)",Takar,takar,,,,Bru.txt
Gằ,Ntruôi,Ân-truôỉ,,,,Bru.txt
Gặm,Kĩat,kĩat,,,,Bru.txt
Gắn,Apớt,apớt,,,,Bru.txt
Gắn bó,Tớt kiat,tớt kiat,,,,Bru.txt
Gặp,Ramóh,Ra-móh,,,,Bru.txt
Gầm,Arư,arư,,,,Bru.txt
Gầm (voi),Thĩar,thĩar,,,,Bru.txt
Gân,Rúq rơaq,rúq rơaq,,,,Bru.txt
Gần,Cheq,Chẹq,,,,Bru.txt
Gần gũi,Cheq racheq,cheq racheq,,,,Bru.txt
Gấp,Tap,Tâp,,,,Bru.txt
Gấp lại,"Sễp, tớp","sễp, tớp",,,,Bru.txt
Gấp vội,Kơpâp,kơpâp,,,,Bru.txt
Gật,Angốk,angốk,,,,Bru.txt
Gật đầu,Angôk plỡ,angôk plỡ,,,,Bru.txt
Gấu,Sakâu,Sa-câu,,,,Bru.txt
Gấu cỏ,Sakâu sara,sakâu sara,,,,Bru.txt
Gấu ngựa,Sakâu chiam,sakâu chiam,,,,Bru.txt
Gầy,Oiq,oiq,,,,Bru.txt
Gậy,Ralỡng,ralỡng,,,,Bru.txt
Gây dựng,Atứng  ayuôr,atứng  ayuôr,,,,Bru.txt
Gầy đi,"Sangot, tatop","sangot, tatop",,,,Bru.txt
Gây gỗ (gây rối),Parkơâi,parkơâi,,,,Bru.txt
Gây nghiện,Pơaih har,Paih har,,,,Bru.txt
Ghẻ,Mpĩh,mpĩh,,,,Bru.txt
Ghen,Mumu,mumu,,,,Bru.txt
Ghét,Kêt,kêt,,,,Bru.txt
Ghét nhau,Rakêt,rakêt,,,,Bru.txt
Ghế,Pian raku,Pỉan rà-cù,,,,Bru.txt
Ghế,Plan raku,Pỉan rà-cù,,,,Bru.txt
Ghế,Kêq,kêq,,,,Bru.txt
Ghềnh,"Truang, chan","truang, chan",,,,Bru.txt
Ghi nhớ,Anhữ,anhữ,,,,Bru.txt
Ghi nhớ,Sayữ tâng púng,Xa-dư tâng pùng,,,,Bru.txt
Ghi tên,Chĩk ramứk,chĩk ramứk,,,,Bru.txt
Gì,Ntrớu,Ần-trâu,Mơâi ramứh la ntrớu?,Mây ra-mứ-h la ân-trâu ?,Bạn tên là gì?,Bru.txt
Gỉ,Ruréh,ruréh,,,,Bru.txt
"Gì, nào (hỏi)","Ntrớu, nnăq","Ân-trâu, ân-nảq",Mơâi ramứh la ntrớu?,Mây ra-mứ-h la ân-trâu ?,Bạn tên là gì?,Bru.txt
Gọi,"Arô, sabau","arô, sabau",,,,Bru.txt
Gói (dt),Tampuôm,tampuôm,,,,Bru.txt
Gói (đgt),"Kayớm, kanyớm tuôn","kayớm, kanyớm tuôn",,,,Bru.txt
Gom lại,Pachứm,pachứm,,,,Bru.txt
Gom lại,"Parchỗm, pachứm","parchỗm, pachứm",,,,Bru.txt
Gọn,Li mpoq,Li âm-pọ-q,,,,Bru.txt
Góp phần,Pachúng rêng,pachúng rêng,,,,Bru.txt
"Góp sức, chung sức",Parỗm rêng,parỗm rêng,,,,Bru.txt
Gót,Kandỡl,kandỡl,,,,Bru.txt
Gọt,Koiq,koiq,,,,Bru.txt
Gồ ghề,Radớp radỗih,radớp radỗih,,,,Bru.txt
Gốc,"Nỡm, tanỡm","nỡm, tanỡm",,,,Bru.txt
Gốc cụt,Rangứl,rangứl,,,,Bru.txt
Gối,Rakỗl,Ra-cô-l,,,,Bru.txt
Gội đầu,Sarak plỡ,Xa-rac pờ-lơ,,,,Bru.txt
Gỡ cá,Lêk sĩaq,lêk sĩaq,,,,Bru.txt
Gỡ ra,Taléh,taléh,,,,Bru.txt
Gùi (đựng áo quần),"Saráng, troq","saráng, troq",,,,Bru.txt
Gùi (đựng củ),Sang,sang,,,,Bru.txt
Gùi (đựng lúa),Achoiq,achoiq,,,,Bru.txt
Guốc,Kanchop ayững,kanchop ayững,,,,Bru.txt
Gừ,Kri,kri,,,,Bru.txt
Gửi,Kỡiq,kỡiq,,,,Bru.txt
Gừng,Asai,asai,,,,Bru.txt
Gương,Kếng lơang,kếng lơang,,,,Bru.txt
Già,Tapơât,Thâu,,,,Bru.txt
Già,Rương,rương,,,,Bru.txt
Giả,Táq nan,táq nan,,,,Bru.txt
Giá,Chiaq,Chịaq,,,,Bru.txt
Già (hoa quả),Kariêng,kariêng,,,,Bru.txt
Già (người),Thâu,thâu,,,,Bru.txt
Giã (thóc),Klóh,klóh,,,,Bru.txt
Giá buốt,Krol,krol,,,,Bru.txt
Giá cả,Chiaq chô,Chịa-q chô,,,,Bru.txt
Gia đình tôi,Dống  kứq,dống  kứq,Dống kứq ỡt vil Ruang,Đông cứ-q ơt vi-l Ruang.,Nhà em ở bản Ruộng.,Bru.txt
Giã gạo,Saruah,saruah,,,,Bru.txt
Già làng,Thâu vil,thâu vil,,,,Bru.txt
Già làng,Thâu kễ,Thâu ke,,,,Bru.txt
Gia phong,Kanot,Ca-not,,,,Bru.txt
Giá trị,Kia,kia,,,,Bru.txt
Giải phóng,Sarbữn kuruang,Xar-bưn cu-roang,,,,Bru.txt
Giải quyết tục lệ,Sang tễng,sang tễng,,,,Bru.txt
Gián,"Sitươiq, satươiq","sitươiq, satươiq",,,,Bru.txt
Giảng,Rơay tỡng,Ray a-tơng,,,,Bru.txt
Giang (cây),Katang,katang,,,,Bru.txt
Giang ra,"Achơang, patang","achơang, patang",,,,Bru.txt
Giang tay,Achơang atĩ,A-chơang a-ty,,,,Bru.txt
Giành lại,Sarbữn,sarbữn,,,,Bru.txt
Giáo,Koih,koih,,,,Bru.txt
Giáo dục,Sáng son,sáng son,,,,Bru.txt
Giao liên,Ayông rana,ayông rana,,,,Bru.txt
Giáo viên,Karu ariên,Cà-rù a-riên,,,,Bru.txt
Giáo viên,Karu ariên saráq,karu ariên saráq,,,,Bru.txt
"Giáp giới Liền với, tiếp giáp",Partĩng,partĩng,,,,Bru.txt
Giàu,Sốk,sốk,,,,Bru.txt
Giàu có,Sốk bữn,Xốc bưn,,,,Bru.txt
Giày,"Kỡp, sor ayững","kỡp, sor ayững",,,,Bru.txt
"Giày, Bít tất",Sor ayững,sor ayững,,,,Bru.txt
Giặc,Chơak,chơak,,,,Bru.txt
Giăng lưới,Ruai aliêip,ruai aliêip,,,,Bru.txt
Giặt,Pơoh,Po-h,,,,Bru.txt
Giắt vào,Kaláq,kaláq,,,,Bru.txt
Giấc mơ,Parnáu,parnáu,,,,Bru.txt
Giấc ngủ,Ntíq,ntíq,,,,Bru.txt
Giận,Chán,chán,,,,Bru.txt
Giật,Sidăh,sidăh,,,,Bru.txt
Giấy,Chơâiq,Chơây-q,,,,Bru.txt
Giấy khai sinh,Saráq kanỡt,saráq kanỡt,,,,Bru.txt
Giấy mời,Chơâiq mơi,Chậỉq mơi,,,,Bru.txt
Gieo,Bũr,Bur,,,,Bru.txt
Gieo,Choi,choi,,,,Bru.txt
Gieo giống,Apăng kuplốq,apăng kuplốq,,,,Bru.txt
Gieo rau cải,Bũa sapơâi,bũa sapơâi,,,,Bru.txt
Gieo trồng,Apăng kuplôq,A-pãng cu-plốq,,,,Bru.txt
Giếng,"Chĩêng, chữơng","chĩêng, chữơng",,,,Bru.txt
Giết nhau,Karchĩt,karchĩt,,,,Bru.txt
Gió,Kuyal,Cu-daỉ,,,,Bru.txt
Giỏ (rau),Sareh,sareh,,,,Bru.txt
Giỏ (suốt lúa),"Ayáng, karươ","ayáng, karươ",,,,Bru.txt
Giỏi,Khếh rangáiq,khếh rangáiq,,,,Bru.txt
Giỏi lý luận,Chiang parnai,chiang parnai,,,,Bru.txt
Giọng,"Samữơng, samĩêng","samữơng, samĩêng",,,,Bru.txt
Giọt,Tayăq,tayăq,,,,Bru.txt
Giống,Kuplốq,Ku-pỉổq,,,,Bru.txt
Giống,"Ĩn, sanắq, muôi chứng","ĩn, sanắq, muôi chứng",,,,Bru.txt
Giống mới,Kuplốq tamái,kuplốq tamái,,,,Bru.txt
Giờ,Yơ,Giơ,,,,Bru.txt
Giơ chân,Akăq ayừng,A-că-q a-dưng,,,,Bru.txt
Giờ leo (con),Sarễng,sarễng,,,,Bru.txt
Giờ ra chơi,Yơ ralu tahỡ,Giơ rà-lù tà-hơ,,,,Bru.txt
Giơ tay,Sakỡ atĩ,Xa-cơ a-ty,,,,Bru.txt
Giơ tay,Sakỡ atĩ (Ayứng atĩ),Xa-cơ a-ti (a-dừng a-tĩ),,,,Bru.txt
Giới thiệu,Chớh atỡng,chớh atỡng,,,,Bru.txt
Giúp,Chuai,Chuai,,,,Bru.txt
Giúp đỡ,Rachoai,rachoai,,,,Bru.txt
Giúp đỡ nhau,Rachuai,rachuai,,,,Bru.txt
Giữ,Yống,yống,,,,Bru.txt
Giữ gìn,Karìam,Ca-riam,,,,Bru.txt
Giữ gìn,Kĩaq pêng,kĩaq pêng,,,,Bru.txt
Giữ gìn,Pêng,pêng,,,,Bru.txt
Giữ lại,Katơăng,katơăng,,,,Bru.txt
Giữ trật tự,Ỡt rangiak,ơt ra-nghỉac,,,,Bru.txt
Giữa,"Mpứng, tapứng","mpứng, tapứng",,,,Bru.txt
Giường,Kachơng,kachơng,,,,Bru.txt
Giương (dù),Klang,klang,,,,Bru.txt
Giương (mắt),Kulơn,kulơn,,,,Bru.txt
Há (miệng),Kaha,kaha,,,,Bru.txt
Hạ xuống,Alíh,alíh,,,,Bru.txt
Hạch,Ranái,ranái,,,,Bru.txt
Hai,Bar,Bar,,,,Bru.txt
Hái,Káiq,Cạy,,,,Bru.txt
Hái,"Káiq, kéh","káiq, kéh",,,,Bru.txt
Hai ;,Bar,Bar,,,,Bru.txt
Hai mươi,Bar chút,Bar chứt,,,,Bru.txt
Haỉ mươi,Bar chứt,Bar chứt,Plơah au ki kứq chếq 120.000 (Mu kulám bar chứt ngin) práq,Pờ-lảh ao kỉ cửq chểq mu cu-ỉãm bar chứt nghìn praq,Chiếc áo đó tôi bán 120.000 (Một trăm hai muoi nghìn) đồng.,Bru.txt
Hai nghìn lẽ một,Bar ngin muôi,Bar nghìn muôi,Kứq kanỡt kumo 2001,Cử-q ca-nơt cu-mo bar nghìn muôi,Em sinh năm 2001,Bru.txt
Hải quan,Haiq kũan,haiq kũan,,,,Bru.txt
Hạn,Kahễng,kahễng,,,,Bru.txt
Hang,"Kưp, hăng","kưp, hăng",,,,Bru.txt
Hàng,Lansor,lansor,,,,Bru.txt
Hang hốc,Lơăk raliau,lơăk raliau,,,,Bru.txt
Hàng nút bạc,Lansor nũôt yat,Lan-sor nuôt dat,,,,Bru.txt
Hàng ngày,Ku tangái,ku tangái,,,,Bru.txt
Hàng rào,Kantruang,kantruang,,,,Bru.txt
Hàng trăm,Tơâp kulám,tơâp kulám,,,,Bru.txt
Hành,Bát phuôm,Bặt-phuồm,,,,Bru.txt
Hạnh phúc,Bốn puan,Bôn puan,,,,Bru.txt
Hạnh phúc,Bốn pian,bốn pian,,,,Bru.txt
Hạnh phúc,Ralíng  bốn pian,ralíng  bốn pian,,,,Bru.txt
Hát (giao duyên),Ũat,Oat,,,,Bru.txt
Hát đám ma,Aruai,A-roai,,,,Bru.txt
Hát đi sim,Ũat langơp,ũat langơp,,,,Bru.txt
Hát đối đáp,Ta-ũaiq,Ta-oạiq,,,,Bru.txt
Hát ru,Hữt,Hưt,,,,Bru.txt
Hát tự sự,Sanỡt,Xa-nơt,,,,Bru.txt
Hay là,He la,Hê la,,,,Bru.txt
Hay là,Tỡ la,Tơ la,,,,Bru.txt
Hay quá,Krơak lứq,krơak lứq,,,,Bru.txt
Hắt hơi,Chơaih,Chơaỉh,,,,Bru.txt
Hâm lại,Takơoq lơah,Ta-cỏq láh,,,,Bru.txt
Hấp tấp,"Tamprúp, tampruap","tamprúp, tampruap",,,,Bru.txt
Hẽm núi,Kip kuap,kip kuap,,,,Bru.txt
Hen,Hễn,hễn,,,,Bru.txt
Hẹn,Partâp,partâp,,,,Bru.txt
Hẻo lánh,Ngễu ngua,ngễu ngua,,,,Bru.txt
"Héo, ngót đi",Sangot,sangot,,,,Bru.txt
Hẹp,Hễp,Hẹp,,,,Bru.txt
Hến,Klo-ap,klo-ap,,,,Bru.txt
Hết,Nhéq,nhéq,,,,Bru.txt
Hết nóng,Mơâm kutâu,mơâm kutâu,,,,Bru.txt
Hết thảy,Nhéq tữh,nhéq tữh,,,,Bru.txt
Hí,"Hễr, bữr","hễr, bữr",,,,Bru.txt
Hì hà hì hục,Lốk bốk lữơk bữơk,lốk bốk lữơk bữơk,,,,Bru.txt
Hì hục,Lốkbốk,lốkbốk,,,,Bru.txt
Hiếm,Nhéq dớt,nhéq dớt,,,,Bru.txt
Hiểm họa lớn,Pahũan karơăq put,Pa-hoan ca-rọq put,,,,Bru.txt
Hiền,Patơat,patơat,,,,Bru.txt
Hiền hậu,Mantơat mantia,mantơat mantia,,,,Bru.txt
Hiện nay,Sanua nái,Xa-noa nay,,,,Bru.txt
Hiền từ,Khũn,khũn,,,,Bru.txt
Hiến thêm,Yỗn miat ễn,yỗn miat ễn,,,,Bru.txt
"Hiểu được, thông suốt",Sapơang,sapơang,,,,Bru.txt
Hiếu học,Sarắng kót riên,sarắng kót riên,,,,Bru.txt
Hiểu nhanh (hiểu ngay),Dáng chái (dáng tơâp),Đãng chay (đăng tập),,,,Bru.txt
Hình dáng,"Rơâp, rup","rơâp, rup",,,,Bru.txt
"Hình dáng, Hình thể",Rup,rup,,,,Bru.txt
Hít,Kahĩt,Ca-hỉt,,,,Bru.txt
Hít,"Kahĩt, hâk","kahĩt, hâk",,,,Bru.txt
Ho,Nghăk,Ẵng-hắc,,,,Bru.txt
Ho,a-ĩ hẵ,a-ĩ hẵ,,,,Bru.txt
Ho,Nghăh,nghăh,,,,Bru.txt
Họ,Tăng,tăng,,,,Bru.txt
Họ hàng,Tăng nol,tăng nol,,,,Bru.txt
Họ làm gì,Nơau táq ntrớu,Nao tảq ân-trâu,,,,Bru.txt
Họ mình,Mũ bữm,mũ bữm,,,,Bru.txt
"Họ, đông",Alơâi,alơâi,,,,Bru.txt
Hoa,Piar,piar,,,,Bru.txt
Hoa tai,"Latai, tang","latai, tang",,,,Bru.txt
Hòa vào,Karchốk,karchốk,,,,Bru.txt
Hoa văn,Pachĩr,Pa-chir,,,,Bru.txt
"Hoạn nạn, Lo lắng",Karơăq kariat,karơăq kariat,,,,Bru.txt
Hoàng anh,Rabỗiq panang,rabỗiq panang,,,,Bru.txt
Hoàng hôn,"Nhứm nhứm, vui viêi","nhứm nhứm, vui viêi",,,,Bru.txt
Hoàng tinh,Pơong ralúng,pơong ralúng,,,,Bru.txt
Học,Riên,Rỉên,,,,Bru.txt
Học giỏi,Riên rangơaiq,Riên ra-ngạỉ-q,,,,Bru.txt
Học giỏi,Rangơaiq riên,rangơaiq riên,,,,Bru.txt
Học kỳ,Hoc ki,Hoc ky,,,,Bru.txt
Học sinh,Kũai riên,kũai riên,,,,Bru.txt
Học tập,Riên saráq,Rỉên xa-rả-q,,,,Bru.txt
Học thuộc bài,Sayữ liang riên,Xa-dư ỉìang rỉên,,,,Bru.txt
Hỏi,Blơh,Bơ-lớ-h,,,,Bru.txt
Hỏi,Blớh,Bờ-ỉớ-h,,,,Bru.txt
Hỏi han,Blớh karhanh,Bờ-ỉớh car-hanh,,,,Bru.txt
Hỏi thăm,"Kahanh, karhanh","kahanh, karhanh",,,,Bru.txt
Hỏi thăm,Karhanh,karhanh,,,,Bru.txt
Hòm,Hĩp,hĩp,,,,Bru.txt
Hom (giỏ),Chỗr,chỗr,,,,Bru.txt
Hon,Klữi,Cơ-lưỉ,,,,Bru.txt
Họng,Arơoq,arơoq,,,,Bru.txt
"Hỏng, hư hại","Rúng, ralốh","rúng, ralốh",,,,Bru.txt
Hóp (má),"Rabop tamễng, rabũaq","rabop tamễng, rabũaq",,,,Bru.txt
Họp (sinh hoạt)Thảo luận,"Sarhống, sỗ parnai","sarhống, sỗ parnai",,,,Bru.txt
Họp chợ,Dỗng,dỗng,,,,Bru.txt
Hót,Bỗk,bỗk,,,,Bru.txt
Hô,Kula,Cù-ỉa,,,,Bru.txt
Hồ,Klóng dỡq sandông put,Cờ-ỉong đợq xan- đông put,,,,Bru.txt
Hồ nước,Talĩng,talĩng,,,,Bru.txt
Hố rác,Prúng sanễk,Prùng xa-nec,,,,Bru.txt
Hốc cây,Rabăh,rabăh,,,,Bru.txt
Hộc lên,Kríh,kríh,,,,Bru.txt
Hội nhập,Sarlũô mut,sarlũô mut,,,,Bru.txt
Hồi sinh,Tamơong môih,tamơong môih,,,,Bru.txt
Hôm kia,Ngái ntria,ngái ntria,,,,Bru.txt
Hôm nay,Tangái nái,Ta-ngay nay,,,,Bru.txt
Hôm nay,Pêl nái,pêl nái,,,,Bru.txt
Hôm nay,Tangái  nái,tangái  nái,,,,Bru.txt
Hôm qua,Tangái mahái,Ta-ngay ma-hay,,,,Bru.txt
Hôm qua,"Ngái mahái, bữ hái","ngái mahái, bữ hái",,,,Bru.txt
Hôn,Hũnh,hũnh,,,,Bru.txt
Hồn,Raviêi,raviêi,,,,Bru.txt
Hông,Mpĩng,mpĩng,,,,Bru.txt
Hồng,Kusáu ku - ỗr,kusáu ku - ỗr,,,,Bru.txt
Hơ,Adễng,adễng,,,,Bru.txt
Hơi,Hũl,hũl,,,,Bru.txt
Hơi thở,Rangứh,rangứh,,,,Bru.txt
Hơn,"Plữi, klữi","plữi, klữi",,,,Bru.txt
Hú,Kahũ,kahũ,,,,Bru.txt
Hú (vượn),Ka-ỗi,ka-ỗi,,,,Bru.txt
Hú đuổi,Katruah,katruah,,,,Bru.txt
Húc,Sớk,sớk,,,,Bru.txt
Hủi,"Atut, tut","atut, tut",,,,Bru.txt
"Hung dữ, dữ dằn, tài ba, phi thường",Karianh,karianh,,,,Bru.txt
Hụp,Kulốp,kulốp,,,,Bru.txt
Huých,Chơât,chơât,,,,Bru.txt
Huyện,Hiên,hiên,,,,Bru.txt
Huýt gió,Kuhỗiq,kuhỗiq,,,,Bru.txt
Hư hỏng,Rúng ralồh,Rùng ra-ỉốh,,,,Bru.txt
Hứng,"Tadỡng, to, sato","tadỡng, to, sato",,,,Bru.txt
Hững nắng,Plưng phũak,plưng phũak,,,,Bru.txt
Hướng,Angia,angia,,,,Bru.txt
Hướng (về),Chua,chua,,,,Bru.txt
Hướng dẫn,Ayông,ayông,,,,Bru.txt
Hươu,Pồih,Pôih,,,,Bru.txt
ỉa,"Pỡq kréq, kakréq","pỡq kréq, kakréq",,,,Bru.txt
ỉa chảy,Sarũah,sarũah,,,,Bru.txt
Ích lợi,Ắk póq,ắk póq,,,,Bru.txt
Im lặng,Ranghiak,ranghiak,,,,Bru.txt
Im phăng phắc,Rangiak,Ra-nghìac,,,,Bru.txt
Ít,Bĩaq (bixq),bĩaq (bixq),,,,Bru.txt
Ít,"Bĩq, bĩaq","bĩq, bĩaq",,,,Bru.txt
Ké (cây),Yayỗ,yayỗ,,,,Bru.txt
Kẻ (đgt),"Kễk, chĩk anơang","kễk, chĩk anơang",,,,Bru.txt
Kẻ (trộm),Savễng,savễng,,,,Bru.txt
Kẻ thù,Kuai par-ũan,kuai par-ũan,,,,Bru.txt
Kém,"Sakũl, sartut","sakũl, sartut",,,,Bru.txt
Kèn,Kên,Kên,,,,Bru.txt
Kèn,Pĩ,pĩ,,,,Bru.txt
Kén chọn,"Rươh, lưlươ","rươh, lưlươ",,,,Bru.txt
Kèn khlui,Khlũi,khlũi,,,,Bru.txt
Kén tằm,Sỗh muan,sỗh muan,,,,Bru.txt
Kèo,Chỗih,chỗih,,,,Bru.txt
Kéo,Sarkĩauq,sarkĩauq,,,,Bru.txt
Kéo đi,"Ti, hor","ti, hor",,,,Bru.txt
Keo kiệt,"Ka-ĩq, kalếh, rahĩt","ka-ĩq, kalếh, rahĩt",,,,Bru.txt
Kéo lên,Rúh,rúh,,,,Bru.txt
Kê,Payuak,payuak,,,,Bru.txt
Kề,Kĩt rahĩt,kĩt rahĩt,,,,Bru.txt
Kể chuyện,Nsũar,Ân xoa-r,,,,Bru.txt
Kế hoạch hóa,Ranáq kansái,ranáq kansái,,,,Bru.txt
Kế hoạch hóa gia đình,Mangkra sễt,mangkra sễt,,,,Bru.txt
"Kể, Kể chuyện",Nsũar,nsũar,,,,Bru.txt
Kết,Tễk,tễk,,,,Bru.txt
Kết quả học tập,Kờt ắk kia riên saráq,Cơt ắc ỉàa riên sa-rảq,,,,Bru.txt
Kêu,Bữr,bữr,,,,Bru.txt
Kêu van,Hễr,hễr,,,,Bru.txt
Kì đà,Rakot,rakot,,,,Bru.txt
Kì kọ,"Akil, chuut puai","akil, chuut puai",,,,Bru.txt
Ki lô mét,Kilômễt,Ki-lô-mêt,,,,Bru.txt
Kì nhông,Kuyăng,kuyăng,,,,Bru.txt
Kia,"Aki, ki, atíh","aki, ki, atíh",,,,Bru.txt
Kìa,"Atíh, tíh, tơoh","atíh, tíh, tơoh",,,,Bru.txt
Kia là,Ntíh,ntíh,,,,Bru.txt
Kìa là,Ntơoh,ntơoh,,,,Bru.txt
Kiếm,Dau,dau,,,,Bru.txt
Kiểm tra,Savál salĩq,Xa-vă-ỉ xa-li-q,,,,Bru.txt
Kiểm tra,"Nhênh salĩq, savál","nhênh salĩq, savál",,,,Bru.txt
Kiếm tra,Táq ruat savál,Tả-q roat xa-vă-l,,,,Bru.txt
Kiến,Samũiq,samũiq,,,,Bru.txt
Kiến càng,Samũi lêng,samũi lêng,,,,Bru.txt
Kiến đen,Katỡi,katỡi,,,,Bru.txt
Kiến lửa,Mur miar,mur miar,,,,Bru.txt
Kiến thức,Rangứh tễ púng,Ra-ngứh tê pùng,,,,Bru.txt
Kiến thức,Rangứl kũai,rangứl kũai,,,,Bru.txt
Kiên trung,Tưt bưt,tưt bưt,,,,Bru.txt
Kiến vống,Kăh krong,kăh krong,,,,Bru.txt
